[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:07.728Z - Started listening on: \\.\pipe\nx\C:\Users\tamph\AppData\Local\Temp\bf83c2739ed9ec946485\d.sock
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:07.741Z - [WATCHER]: Subscribed to changes within: D:\Workspace\angular\chat-app (native)
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:07.745Z - Established a connection. Number of open connections: 1
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:07.752Z - Closed a connection. Number of open connections: 0
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:07.753Z - Established a connection. Number of open connections: 1
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:07.758Z - [REQUEST]: Client Request for Project Graph Received
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:07.833Z - Time taken for 'loadSpecifiedNxPlugins' 6.516400000000033ms
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.860Z - Time taken for 'Load Nx Plugin: D:\Workspace\angular\chat-app\.nx\installation\node_modules\nx\src\plugins\package-json' 1095.054ms
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.910Z - Time taken for 'Load Nx Plugin: D:\Workspace\angular\chat-app\.nx\installation\node_modules\nx\src\plugins\project-json\build-nodes\project-json' 1143.8874ms
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.936Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.936Z - [REQUEST]: 
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.936Z - [REQUEST]: 
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.951Z - Time taken for 'loadDefaultNxPlugins' 1172.3215ms
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.987Z - Time taken for 'build-project-configs' 13.68769999999995ms
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:08.999Z - [SYNC]: collect registered sync generators
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.170Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.245Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.326Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.376Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.434Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.497Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.575Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.747Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.809Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:54.950Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:55.089Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:55.230Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:55.400Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:55.603Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:55.885Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:56.041Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:56.134Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:56.337Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.166Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.245Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.462Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.603Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.663Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.772Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.835Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:58.897Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:59.100Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:59.209Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T02:59:59.286Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:00.472Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:01.063Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:01.987Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:02.112Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:02.265Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:02.344Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:02.877Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:02.939Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:03.594Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:03.890Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.139Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.195Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.328Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.577Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.640Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.717Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.771Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.840Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.904Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:04.981Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:05.999Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.123Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.371Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.448Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.516Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.594Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.673Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.739Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.824Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.887Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:06.967Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.026Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.106Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.168Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.231Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.369Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.440Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.515Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.627Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.681Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.793Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.880Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:07.964Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.025Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.086Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.164Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.225Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.288Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.349Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.409Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.488Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.562Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.634Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.711Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.823Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.907Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:08.995Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.075Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.142Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.307Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.572Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.635Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.730Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.806Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.861Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:09.933Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.027Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.101Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.157Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.235Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.323Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.397Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.455Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.528Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.605Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.667Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.722Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.806Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.862Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:10.943Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.021Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.113Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.207Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.415Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.513Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.596Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.717Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.779Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.835Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:11.908Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.039Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.106Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.165Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.245Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.307Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.381Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.446Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.538Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.603Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.665Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.726Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.786Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.839Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:12.946Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.011Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.063Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.119Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.181Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.247Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.306Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.384Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.442Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.501Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.556Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.625Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.711Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.769Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.825Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.897Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:13.980Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.038Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.103Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.164Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.222Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.278Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.342Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.423Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.474Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.553Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.607Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.674Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.736Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.801Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.879Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:14.938Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.001Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.059Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.121Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.173Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.224Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.281Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.335Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.388Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.450Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.511Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.582Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.651Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.721Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.782Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.859Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.920Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:15.986Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.059Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.111Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.174Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.231Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.300Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.362Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.425Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.534Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.589Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.652Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.719Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.780Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:16.843Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:24.043Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:00:24.602Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:02:47.924Z - [WATCHER]: Processing file changes in outputs
[NX v21.2.4 Daemon Server] - 2025-07-17T03:02:47.935Z - [WATCHER]: chat-app/package.json was modified
[NX v21.2.4 Daemon Server] - 2025-07-17T03:02:48.057Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX v21.2.4 Daemon Server] - 2025-07-17T03:02:48.058Z - [REQUEST]: chat-app/package.json
